id_cliente,fecha_corte,origen_datos,id_producto,estado_producto
1375586,2015-01-28,train,1,0
1375586,2015-01-28,train,2,0
1375586,2015-01-28,train,3,1
1375586,2015-01-28,train,4,0
1375586,2015-01-28,train,5,0
1375586,2015-01-28,train,6,0
1375586,2015-01-28,train,7,0
1375586,2015-01-28,train,8,0
1375586,2015-01-28,train,9,0
1375586,2015-01-28,train,10,0
1375586,2015-01-28,train,11,0
1375586,2015-01-28,train,12,0
1375586,2015-01-28,train,13,0
1375586,2015-01-28,train,14,0
1375586,2015-01-28,train,15,0
1375586,2015-01-28,train,16,0
1050611,2015-01-28,train,1,0
1050611,2015-01-28,train,2,0
1050611,2015-01-28,train,3,1
1050611,2015-01-28,train,4,0
1050611,2015-01-28,train,5,0
1050611,2015-01-28,train,6,0
1050611,2015-01-28,train,7,0
1050611,2015-01-28,train,8,0
1050611,2015-01-28,train,9,0
1050611,2015-01-28,train,10,0
1050611,2015-01-28,train,11,0
1050611,2015-01-28,train,12,0
1050611,2015-01-28,train,13,0
1050611,2015-01-28,train,14,0
1050611,2015-01-28,train,15,0
1050611,2015-01-28,train,16,0
1050612,2015-01-28,train,1,0
1050612,2015-01-28,train,2,0
1050612,2015-01-28,train,3,1
1050612,2015-01-28,train,4,0
1050612,2015-01-28,train,5,0
1050612,2015-01-28,train,6,0
1050612,2015-01-28,train,7,0
1050612,2015-01-28,train,8,0
1050612,2015-01-28,train,9,0
1050612,2015-01-28,train,10,0
1050612,2015-01-28,train,11,0
1050612,2015-01-28,train,12,0
1050612,2015-01-28,train,13,0
1050612,2015-01-28,train,14,0
1050612,2015-01-28,train,15,0
1050612,2015-01-28,train,16,0
1050613,2015-01-28,train,1,0
1050613,2015-01-28,train,2,0
1050613,2015-01-28,train,3,0
1050613,2015-01-28,train,4,0
1050613,2015-01-28,train,5,0
1050613,2015-01-28,train,6,0
1050613,2015-01-28,train,7,0
1050613,2015-01-28,train,8,0
1050613,2015-01-28,train,9,0
1050613,2015-01-28,train,10,1
1050613,2015-01-28,train,11,0
1050613,2015-01-28,train,12,0
1050613,2015-01-28,train,13,0
1050613,2015-01-28,train,14,0
1050613,2015-01-28,train,15,0
1050613,2015-01-28,train,16,0
1050614,2015-01-28,train,1,0
1050614,2015-01-28,train,2,0
1050614,2015-01-28,train,3,1
1050614,2015-01-28,train,4,0
1050614,2015-01-28,train,5,0
1050614,2015-01-28,train,6,0
1050614,2015-01-28,train,7,0
1050614,2015-01-28,train,8,0
1050614,2015-01-28,train,9,0
1050614,2015-01-28,train,10,0
1050614,2015-01-28,train,11,0
1050614,2015-01-28,train,12,0
1050614,2015-01-28,train,13,0
1050614,2015-01-28,train,14,0
1050614,2015-01-28,train,15,0
1050614,2015-01-28,train,16,0
1050615,2015-01-28,train,1,0
1050615,2015-01-28,train,2,0
1050615,2015-01-28,train,3,1
1050615,2015-01-28,train,4,0
1050615,2015-01-28,train,5,0
1050615,2015-01-28,train,6,0
1050615,2015-01-28,train,7,0
1050615,2015-01-28,train,8,0
1050615,2015-01-28,train,9,0
1050615,2015-01-28,train,10,0
1050615,2015-01-28,train,11,0
1050615,2015-01-28,train,12,0
1050615,2015-01-28,train,13,0
1050615,2015-01-28,train,14,0
1050615,2015-01-28,train,15,0
1050615,2015-01-28,train,16,0
1050616,2015-01-28,train,1,0
1050616,2015-01-28,train,2,0
1050616,2015-01-28,train,3,1
1050616,2015-01-28,train,4,0
1050616,2015-01-28,train,5,0
